Customer,Income,SpendingScore,Label
C249,36,58,0
C250,45,65,0
C251,69,67,1
C252,45,59,0
C253,71,74,1
C254,49,59,0
C255,51,55,0
C256,39,51,0
C257,50,43,0
C258,68,67,1
C259,65,79,1
C260,42,50,0
C261,29,56,0
C262,70,85,1
C263,38,52,0
C264,42,63,0
C265,39,52,0
C266,69,71,1
C267,62,71,1
C268,73,63,1
C269,41,44,0
C270,50,38,0
C271,61,73,1
C272,76,70,1
C273,61,83,1
C274,55,55,1
C275,44,46,0
C276,58,75,1
C277,42,45,0
C278,56,76,1
C279,45,49,0
C280,78,63,1
C281,54,65,1
C282,65,72,1
C283,63,72,1
C284,30,62,0
C285,64,78,1
C286,43,54,0
C287,45,54,0
C288,45,61,0
C289,42,56,0
C290,64,80,1
C291,35,64,0
C292,40,39,0
C293,41,45,0
C294,71,65,1
C295,62,57,1
C296,62,53,1
C297,54,75,1
C298,46,53,0
C299,32,50,0
C300,65,62,1
C301,52,57,0
C302,38,50,0
C303,42,34,0
C304,63,65,1
C305,58,68,1
C306,54,55,0
C307,61,74,1
C308,75,76,1
C309,65,65,1
C310,70,73,1
C311,71,74,1
C312,48,46,0
C313,74,71,1
C314,57,44,0
C315,54,52,0
C316,60,67,1
C317,37,53,0
C318,44,45,0
C319,40,67,0
C320,77,73,1
C321,65,71,1
C322,45,42,0
C323,63,58,1
C324,68,75,1
C325,62,81,1
C326,56,60,1
C327,42,58,0
C328,53,46,0
C329,73,70,1
C330,64,76,1
C331,45,37,0
C332,52,61,0
C333,61,73,1
C334,44,52,0
C335,61,65,1
C336,65,78,1
C337,44,47,0
C338,46,27,0
C339,73,58,1
C340,62,62,1
C341,30,59,0
C342,62,72,1
C343,40,54,0
C344,66,61,1
C345,48,46,0
C346,28,47,0
C347,52,57,0
C348,63,68,1
C349,63,85,1
C350,43,53,0
C351,72,72,1
C352,38,48,0
C353,39,50,0
C354,70,70,1
C355,70,69,1
C356,41,34,0
C357,71,72,1
C358,72,50,1
C359,57,49,0
C360,49,42,0
C361,69,63,1
C362,35,65,0
C363,38,52,0
C364,71,73,1
C365,41,53,0
C366,59,50,0
C367,66,77,1
C368,73,78,1
C369,45,41,0
C370,53,41,0
C371,67,65,1
C372,65,72,1
C373,67,73,1
C374,76,73,1
C375,38,58,0
C376,73,61,1
C377,69,75,1
C378,38,61,0
C379,64,71,1
C380,39,50,0
C381,57,60,1
C382,76,64,1
C383,58,55,1
C384,35,39,0
C385,53,58,0
C386,60,86,1
C387,48,47,0
C388,20,68,0
C389,29,37,0
C390,48,70,0
C391,51,55,0
C392,45,57,0
C393,70,72,1
C394,66,70,1
C395,34,48,0
C396,53,69,1
C397,58,62,1
C398,66,80,1
C399,71,59,1
C400,32,58,0
C401,58,68,1
C402,69,63,1
C403,41,39,0
C404,35,53,0
C405,54,73,1
C406,65,74,1
C407,67,80,1
C408,66,67,1
C409,66,74,1
C410,65,70,1
C411,34,45,0
C412,55,82,1
C413,56,65,1
C414,34,57,0
C415,38,60,0
C416,35,52,0
C417,33,67,0
C418,57,72,1
C419,69,73,1
C420,64,69,1
C421,65,69,1
C422,72,85,1
C423,61,60,1
C424,39,71,0
C425,59,81,1
C426,53,46,0
C427,45,63,0
C428,62,69,1
C429,35,42,0
C430,60,61,1
C431,40,44,0
C432,67,59,1
C433,43,57,0
C434,51,73,1
C435,74,62,1
C436,77,73,1
C437,60,70,1
C438,69,71,1
C439,44,43,0
C440,41,39,0
C441,39,43,0
C442,60,79,1
C443,49,55,0
C444,57,68,1
C445,73,71,1
C446,59,53,0
C447,42,48,0
C448,66,69,1
C449,46,58,0
C450,59,61,1
C451,52,74,1
C452,57,55,1
C453,68,87,1
C454,65,76,1
C455,41,49,0
C456,47,48,0
C457,67,72,1
C458,60,77,1
C459,39,44,0
C460,44,43,0
C461,65,70,1
C462,49,54,0
C463,65,76,1
C464,51,54,0
C465,65,61,1
C466,31,48,0
C467,61,69,1
C468,40,54,0
C469,39,54,0
C470,65,56,1
C471,32,49,0
C472,57,74,1
C473,52,60,0
C474,64,80,1
C475,41,47,0
C476,61,68,1
C477,37,51,0
C478,66,70,1
C479,43,60,0
C480,72,60,1
C481,47,77,1
C482,55,68,1
C483,31,36,0
C484,69,75,1
C485,35,29,0
C486,61,73,1
C487,28,51,0
C488,65,74,1
C489,41,42,0
C490,50,49,0
C491,65,63,1
C492,36,43,0
C493,39,64,0
C494,55,59,1
C495,52,48,0
C496,35,58,0
C497,35,65,0
C498,70,67,1
C499,57,45,0
C500,70,72,1
C501,50,62,0
C502,40,44,0
C503,44,45,0
C504,79,71,1
C505,37,51,0
C506,29,42,0
C507,73,65,1
C508,32,54,0
C509,73,75,1
C510,72,65,1
C511,29,62,0
C512,63,68,1
C513,51,54,0
C514,68,85,1
C515,60,76,1
C516,40,52,0
C517,76,74,1
C518,69,78,1
C519,62,64,1
C520,58,56,1
C521,79,62,1
C522,38,48,0
C523,67,76,1
C524,47,45,0
C525,64,72,1
C526,38,63,0
C527,44,56,0
C528,70,78,1
C529,66,61,1
C530,68,65,1
C531,36,55,0
C532,74,70,1
C533,42,64,0
C534,42,71,0
C535,45,36,0
C536,70,73,1
C537,74,75,1
C538,39,40,0
C539,38,43,0
C540,61,74,1
C541,53,53,0
C542,57,73,1
C543,50,45,0
C544,64,70,1
C545,34,55,0
C546,64,73,1
C547,33,47,0
C548,70,67,1
C549,77,67,1
C550,42,57,0
C551,29,36,0
C552,54,79,1
C553,36,70,0
C554,61,71,1
C555,52,66,0
C556,79,78,1
C557,72,74,1
C558,70,66,1
C559,59,70,1
C560,64,67,1
C561,70,77,1
C562,41,62,0
C563,31,48,0
C564,34,35,0
C565,64,69,1
C566,76,74,1
C567,58,83,1
C568,74,74,1
C569,38,42,0
C570,37,59,0
C571,78,81,1
C572,36,41,0
C573,41,36,0
C574,67,69,1
C575,36,37,0
C576,69,66,1
C577,31,27,0
C578,65,82,1
C579,77,67,1
C580,61,73,1
C581,58,72,1
C582,46,60,0
C583,64,69,1
C584,59,64,1
C585,63,73,1
C586,47,44,0
C587,75,68,1
C588,40,44,0
C589,48,76,1
C590,46,48,0
C591,41,54,0
C592,54,66,1
C593,46,40,0
C594,67,61,1
C595,68,70,1
C596,54,78,1
C597,34,44,0
C598,42,59,0
C599,58,70,1
C600,68,75,1
C601,41,47,0
C602,59,71,1
C603,57,50,1
C604,68,76,1
C605,21,42,0
C606,45,66,0
C607,40,44,0
C608,64,80,1
C609,60,64,1
C610,62,63,1
C611,41,63,0
C612,67,68,1
C613,63,59,1
C614,71,69,1
C615,64,92,1
C616,42,44,0
C617,37,59,0
C618,66,60,1
C619,47,45,0
C620,55,59,0
C621,62,79,1
C622,65,76,1
C623,44,43,0
C624,60,77,1
C625,37,47,0
C626,58,73,1
C627,57,41,0
C628,65,80,1
C629,39,54,0
C630,32,53,0
C631,39,58,0
C632,73,88,1
C633,45,53,0
C634,42,47,0
C635,67,68,1
C636,66,79,1
C637,32,59,0
C638,51,49,0
C639,50,66,1
C640,74,70,1
C641,58,66,1
C642,71,74,1
C643,63,67,1
C644,37,43,0
C645,76,68,1
C646,50,62,0
C647,48,47,0
C648,43,50,0
C649,59,72,1
C650,31,60,0
C651,36,52,0
C652,67,68,1
C653,45,46,0
C654,47,39,0
C655,66,84,1
C656,32,45,0
C657,44,51,0
C658,43,54,0
C659,69,78,1
C660,68,68,1
C661,70,83,1
C662,39,42,0
C663,49,49,0
C664,50,76,1
C665,36,49,0
C666,43,52,0
C667,70,67,1
C668,69,68,1
C669,46,55,0
C670,33,59,0
C671,36,56,0
C672,68,83,1
C673,63,68,1
C674,65,68,1
C675,71,59,1
C676,32,41,0
C677,72,82,1
C678,64,69,1
C679,65,78,1
C680,59,72,1
C681,72,74,1
C682,42,58,0
C683,20,55,0
C684,60,57,1
C685,44,61,0
C686,64,77,1
C687,76,79,1
C688,53,56,0
C689,41,37,0
C690,63,64,1
C691,80,69,1
C692,66,74,1
C693,40,64,0
C694,61,71,1
C695,60,61,1
C696,61,70,1
C697,37,44,0
C698,55,69,1
C699,54,75,1
C700,41,38,0
C701,63,65,1
C702,67,79,1
C703,25,51,0
C704,64,75,1
C705,42,44,0
C706,37,44,0
C707,73,70,1
C708,78,70,1
C709,60,59,1
C710,52,59,1
C711,42,54,0
C712,54,76,1
C713,36,51,0
C714,76,76,1
C715,63,64,1
C716,50,65,1
C717,38,42,0
C718,64,71,1
C719,63,65,1
C720,66,73,1
C721,57,80,1
C722,39,50,0
C723,70,72,1
C724,48,52,0
C725,35,53,0
C726,31,51,0
C727,40,48,0
C728,39,35,0
C729,36,51,0
C730,66,63,1
C731,50,43,0
C732,48,53,0
C733,35,64,0
C734,57,76,1
C735,72,65,1
C736,51,48,0
C737,67,72,1
C738,39,56,0
C739,46,36,0
C740,74,58,1
C741,48,59,0
C742,57,67,1
C743,57,68,1
C744,38,56,0
C745,50,61,0
C746,61,69,1
C747,27,44,0
C748,48,63,0
C749,30,45,0
C750,65,72,1
C751,59,73,1
C752,36,50,0
C753,69,70,1
C754,62,69,1
C755,64,67,1
C756,63,81,1
C757,69,68,1
C758,46,47,0
C759,49,53,0
C760,39,54,0
C761,54,62,1
C762,57,71,1
C763,54,68,0
C764,69,74,1
C765,26,46,0
C766,34,45,0
C767,39,46,0
C768,51,75,1
C769,57,72,1
C770,57,43,0
C771,20,48,0
C772,49,66,0
C773,30,54,0
C774,62,69,1
C775,84,59,1
C776,42,54,0
C777,49,51,0
C778,67,67,1
C779,67,68,1
C780,45,47,0
C781,43,50,0
C782,49,50,0
C783,53,79,1
C784,59,65,1
C785,61,80,1
C786,23,75,0
C787,48,52,0
C788,65,72,1
C789,69,75,1
C790,44,51,0
C791,64,69,1
C792,64,78,1
C793,45,26,0
C794,70,71,1
C795,40,47,0
C796,49,58,0
C797,34,53,0
C798,32,39,0
C799,35,57,0
C800,48,54,0
C801,46,54,0
C802,61,73,1
C803,46,56,0
C804,50,56,0
C805,67,77,1
C806,65,64,1
C807,64,65,1
C808,35,49,0
C809,59,68,1
C810,25,52,0
C811,40,43,0
C812,45,58,0
C813,27,44,0
C814,60,63,1
C815,71,69,1
C816,38,34,0
C817,45,40,0
C818,40,52,0
C819,75,61,1
C820,20,51,0
C821,54,60,0
C822,66,67,1
C823,71,63,1
C824,44,54,0
C825,72,89,1
C826,68,66,1
C827,40,36,0
C828,60,67,1
C829,36,51,0
C830,59,78,1
C831,40,50,0
C832,37,51,0
C833,47,43,0
C834,60,68,1
C835,29,43,0
C836,62,76,1
C837,42,52,0
C838,47,49,0
C839,68,69,1
C840,42,45,0
C841,20,49,0
C842,75,76,1
C843,48,60,0
C844,41,52,0
C845,35,47,0
C846,45,60,0
C847,64,67,1
C848,65,74,1
C849,28,32,0
C850,61,61,1
C851,36,49,0
C852,62,80,1
C853,43,52,0
C854,45,41,0
C855,48,49,0
C856,45,41,0
C857,28,57,0
C858,43,43,0
C859,59,78,1
C860,30,63,0
C861,59,74,1
C862,37,55,0
C863,61,69,1
C864,65,63,1
C865,70,66,1
C866,38,42,0
C867,20,48,0
C868,82,75,1
C869,40,48,0
C870,65,74,1
C871,31,59,0
C872,70,75,1
C873,68,70,1
C874,45,55,0
C875,63,66,1
C876,41,62,0
C877,56,60,1
C878,66,70,1
C879,41,52,0
C880,38,62,0
C881,27,43,0
C882,64,58,1
C883,39,63,0
C884,65,72,1
C885,56,66,1
C886,37,47,0
C887,50,54,0
C888,57,72,1
C889,68,78,1
C890,53,42,0
C891,34,40,0
C892,38,54,0
C893,48,49,0
C894,37,51,0
C895,59,85,1
C896,54,71,1
C897,79,70,1
C898,64,67,1
C899,39,61,0
C900,22,62,0
C901,29,48,0
C902,62,74,1
C903,54,73,1
C904,56,39,0
C905,42,45,0
C906,68,70,1
C907,61,73,1
C908,54,48,0
C909,46,40,0
C910,58,73,1
C911,52,53,0
C912,37,50,0
C913,30,55,0
C914,71,67,1
C915,62,72,1
C916,62,70,1
C917,80,68,1
C918,62,65,1
C919,70,69,1
C920,60,79,1
C921,51,45,0
C922,25,58,0
C923,35,56,0
C924,24,57,0
C925,30,56,0
C926,40,42,0
C927,37,55,0
C928,66,74,1
C929,79,59,1
C930,53,51,0
C931,33,39,0
C932,64,76,1
C933,39,62,0
C934,28,50,0
C935,56,73,1
C936,47,47,0
C937,47,71,1
C938,43,53,0
C939,74,63,1
C940,70,78,1
C941,53,72,1
C942,36,49,0
C943,67,67,1
C944,35,50,0
C945,31,41,0
C946,45,41,0
C947,45,54,0
C948,53,65,1
C949,73,63,1
C950,36,54,0
C951,46,48,0
C952,61,80,1
C953,54,58,0
C954,66,64,1
C955,33,54,0
C956,43,61,0
C957,70,59,1
C958,48,42,0
C959,62,72,1
C960,56,75,0
C961,45,49,0
C962,44,57,0
C963,63,83,1
C964,42,54,0
C965,45,53,0
C966,47,45,0
C967,36,41,0
C968,68,75,1
C969,68,82,1
C970,40,55,0
C971,57,67,1
C972,46,57,0
C973,38,49,0
C974,28,47,0
C975,71,74,1
C976,69,70,1
C977,65,65,1
C978,70,73,1
C979,68,66,1
C980,50,78,1
C981,62,64,1
C982,70,67,1
C983,72,74,1
C984,45,39,0
C985,73,72,1
C986,62,71,1
C987,53,73,1
C988,58,61,1
C989,54,78,1
C990,61,81,1
C991,61,58,1
C992,57,79,1
C993,64,66,1
C994,66,74,1
C995,73,80,1
C996,37,39,0
C997,37,52,0
C998,58,63,1
C999,67,70,1
C1000,40,44,0
